from_site_id,to_site_id,measured_quality,effective_quality,rule
1,1,0.0,1.0,co_located_assumption
1,2,0.25790529076045043,0.25790529076045043,measured_directed
1,3,0.7751041184636742,0.7751041184636742,measured_directed
1,4,0.2390868425111831,0.2390868425111831,measured_directed
1,5,0.0023137436372049976,0.0023137436372049976,measured_directed
1,6,0.4169366034243406,0.4169366034243406,measured_directed
1,7,0.1948172142526608,0.1948172142526608,measured_directed
1,8,0.16335030078667284,0.16335030078667284,measured_directed
1,9,0.2520438068795311,0.2520438068795311,measured_directed
1,10,0.25127255900046275,0.25127255900046275,measured_directed
1,11,0.16597254357550517,0.16597254357550517,measured_directed
1,12,0.1372821224741632,0.1372821224741632,measured_directed
1,13,0.15826006478482185,0.15826006478482185,measured_directed
1,14,0.062162579052907604,0.062162579052907604,measured_directed
1,15,0.0009254974548819991,0.0009254974548819991,measured_directed
1,16,0.012031466913465988,0.012031466913465988,measured_directed
1,17,0.013882461823229986,0.013882461823229986,measured_directed
1,18,0.043035631652012955,0.043035631652012955,measured_directed
1,19,0.028998920252969303,0.028998920252969303,measured_directed
1,20,0.01588770630880765,0.01588770630880765,measured_directed
1,21,0.019743945704149314,0.019743945704149314,measured_directed
1,22,0.028073422798087305,0.028073422798087305,measured_directed
1,23,0.04812586765386395,0.04812586765386395,measured_directed
1,24,0.016967453339503315,0.016967453339503315,measured_directed
1,25,0.018201449946012648,0.018201449946012648,measured_directed
1,26,0.1220114144686102,0.1220114144686102,measured_directed
1,27,0.02791917322227364,0.02791917322227364,measured_directed
1,28,0.12077741786210087,0.12077741786210087,measured_directed
1,29,0.06987505784359092,0.06987505784359092,measured_directed
1,30,0.17939225667129416,0.17939225667129416,measured_directed
1,31,0.5104013705335291,0.5104013705335291,measured_directed
1,32,0.10010797470306956,0.10010797470306956,measured_directed
1,33,0.4318988122782662,0.4318988122782662,measured_directed
1,34,0.25775104118463676,0.25775104118463676,measured_directed
1,35,0.323307110905445,0.323307110905445,measured_directed
1,36,0.38145920098719727,0.38145920098719727,measured_directed
1,37,0.34428505321610364,0.34428505321610364,measured_directed
1,38,0.09825697979330557,0.09825697979330557,measured_directed
1,39,0.07619929045195126,0.07619929045195126,measured_directed
1,40,0.18957272867499614,0.18957272867499614,measured_directed
1,41,0.0626253277803486,0.0626253277803486,measured_directed
1,42,0.010026222427888323,0.010026222427888323,measured_directed
1,43,0.04241863334875829,0.04241863334875829,measured_directed
1,44,0.021594940613913313,0.021594940613913313,measured_directed
1,45,0.04504087613759062,0.04504087613759062,measured_directed
1,46,0.012494215640906988,0.012494215640906988,measured_directed
1,47,0.02745642449483264,0.02745642449483264,measured_directed
1,48,0.04874286595711862,0.04874286595711862,measured_directed
1,49,0.005398735153478328,0.005398735153478328,measured_directed
1,50,0.0,0.0,measured_directed
1,51,0.027302174919018974,0.027302174919018974,measured_directed
1,52,0.04519512571340429,0.04519512571340429,measured_directed
1,53,0.08730525991053524,0.08730525991053524,measured_directed
1,54,0.08422026839426192,0.08422026839426192,measured_directed
2,1,0.346100278551532,0.346100278551532,measured_directed
2,2,0.0,1.0,co_located_assumption
2,3,0.4388927576601671,0.4388927576601671,measured_directed
2,4,0.5988857938718662,0.5988857938718662,measured_directed
2,5,0.002263231197771588,0.002263231197771588,measured_directed
2,6,0.40668523676880225,0.40668523676880225,measured_directed
2,7,0.5238509749303621,0.5238509749303621,measured_directed
2,8,0.2576601671309192,0.2576601671309192,measured_directed
2,9,0.20630222841225626,0.20630222841225626,measured_directed
2,10,0.1613857938718663,0.1613857938718663,measured_directed
2,11,0.11246518105849582,0.11246518105849582,measured_directed
2,12,0.0927924791086351,0.0927924791086351,measured_directed
2,13,0.07155292479108635,0.07155292479108635,measured_directed
2,14,0.08356545961002786,0.08356545961002786,measured_directed
2,15,0.0,0.0,measured_directed
2,16,0.002437325905292479,0.002437325905292479,measured_directed
2,17,0.00644150417827298,0.00644150417827298,measured_directed
2,18,0.039171309192200555,0.039171309192200555,measured_directed
2,19,0.00504874651810585,0.00504874651810585,measured_directed
2,20,0.008008356545961003,0.008008356545961003,measured_directed
2,21,0.013753481894150418,0.013753481894150418,measured_directed
2,22,0.013057103064066851,0.013057103064066851,measured_directed
2,23,0.044220055710306405,0.044220055710306405,measured_directed
2,24,0.020717270194986072,0.020717270194986072,measured_directed
2,25,0.008704735376044569,0.008704735376044569,measured_directed
2,26,0.08582869080779944,0.08582869080779944,measured_directed
2,27,0.10219359331476323,0.10219359331476323,measured_directed
2,28,0.03603760445682451,0.03603760445682451,measured_directed
2,29,0.09940807799442897,0.09940807799442897,measured_directed
2,30,0.13579387186629527,0.13579387186629527,measured_directed
2,31,0.2760227107293638,0.2760227107293638,measured_directed
2,32,0.11995125348189414,0.11995125348189414,measured_directed
2,33,0.4399373259052925,0.4399373259052925,measured_directed
2,34,0.5571030640668524,0.5571030640668524,measured_directed
2,35,0.4717966573816156,0.4717966573816156,measured_directed
2,36,0.35132311977715874,0.35132311977715874,measured_directed
2,37,0.2945682451253482,0.2945682451253482,measured_directed
2,38,0.1998607242339833,0.1998607242339833,measured_directed
2,39,0.1310933147632312,0.1310933147632312,measured_directed
2,40,0.09331476323119778,0.09331476323119778,measured_directed
2,41,0.0684192200557103,0.0684192200557103,measured_directed
2,42,0.022632311977715876,0.022632311977715876,measured_directed
2,43,0.04474233983286908,0.04474233983286908,measured_directed
2,44,0.028551532033426183,0.028551532033426183,measured_directed
2,45,0.031162952646239556,0.031162952646239556,measured_directed
2,46,0.015668523676880222,0.015668523676880222,measured_directed
2,47,0.027332869080779944,0.027332869080779944,measured_directed
2,48,0.0443941504178273,0.0443941504178273,measured_directed
2,49,0.004874651810584958,0.004874651810584958,measured_directed
2,50,0.004352367688022284,0.004352367688022284,measured_directed
2,51,0.009227019498607242,0.009227019498607242,measured_directed
2,52,0.05170612813370473,0.05170612813370473,measured_directed
2,53,0.09366295264623956,0.09366295264623956,measured_directed
2,54,0.12360724233983288,0.12360724233983288,measured_directed
3,1,0.7533581023149472,0.7533581023149472,measured_directed
3,2,0.2223492426407545,0.2223492426407545,measured_directed
3,3,0.0,1.0,co_located_assumption
3,4,0.407830808802515,0.407830808802515,measured_directed
3,5,0.0017147756501857674,0.0017147756501857674,measured_directed
3,6,0.5075735924549871,0.5075735924549871,measured_directed
