Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,1,0,0,0,0,1778669901314,1778669901424,0,0,0
2,2,0,34,14,18,1778669906313,1778669906346,305573,125824,161775
3,3,0,49,26,18,1778669911316,1778669911355,424124,215991,166596
4,4,0,4,0,4,1778669916313,1778669916368,53281,0,53281
5,5,0,0,0,0,1778669921313,1778669921352,0,0,0
6,6,0,0,0,0,1778669926313,1778669926354,0,0,0
7,7,0,0,0,0,1778669931314,1778669931363,0,0,0
8,8,0,0,0,0,1778669936314,1778669936356,0,0,0
9,9,0,0,0,0,1778669941315,1778669941364,0,0,0
10,10,0,0,0,0,1778669946315,1778669946367,0,0,0
11,11,0,0,0,0,1778669951315,1778669951357,0,0,0
12,12,0,0,0,0,1778669956315,1778669956359,0,0,0
13,13,0,0,0,0,1778669961316,1778669961366,0,0,0
14,14,0,0,0,0,1778669966317,1778669966355,0,0,0
15,15,0,0,0,0,1778669971316,1778669971357,0,0,0
16,16,0,0,0,0,1778669976317,1778669976373,0,0,0
17,17,0,0,0,0,1778669981318,1778669981358,0,0,0
18,18,0,0,0,0,1778669986318,1778669986358,0,0,0
19,19,0,0,0,0,1778669991318,1778669991362,0,0,0
20,20,0,0,0,0,1778669996318,1778669996356,0,0,0
21,21,0,0,0,0,1778670001318,1778670001356,0,0,0
22,22,0,0,0,0,1778670006319,1778670006371,0,0,0
23,23,0,0,0,0,1778670011319,1778670011360,0,0,0
24,24,0,0,0,0,1778670016320,1778670016362,0,0,0
25,25,0,0,0,0,1778670021320,1778670021364,0,0,0
26,26,0,0,0,0,1778670026321,1778670026362,0,0,0
27,27,0,0,0,0,1778670031321,1778670031367,0,0,0
28,28,0,0,0,0,1778670036321,1778670036374,0,0,0
29,29,0,0,0,0,1778670041322,1778670041354,0,0,0
30,30,0,0,0,0,1778670046322,1778670046365,0,0,0
31,31,0,0,0,0,1778670051323,1778670051359,0,0,0
32,32,0,0,0,0,1778670056323,1778670056355,0,0,0
33,33,0,0,0,0,1778670061323,1778670061367,0,0,0
34,34,0,0,0,0,1778670066323,1778670066361,0,0,0
