Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,1,0,0,0,0,1778669899868,1778669899925,0,0,0
2,2,0,32,24,0,1778669904870,1778669904908,241578,181185,0
3,3,0,31,13,12,1778669909870,1778669909920,281318,89348,150732
4,4,0,19,0,19,1778669914871,1778669914928,225729,0,225729
5,5,0,0,0,0,1778669919870,1778669919917,0,0,0
6,6,0,0,0,0,1778669924870,1778669924913,0,0,0
7,7,0,0,0,0,1778669929870,1778669929903,0,0,0
8,8,0,0,0,0,1778669934872,1778669934912,0,0,0
9,9,0,0,0,0,1778669939871,1778669939920,0,0,0
10,10,0,0,0,0,1778669944872,1778669944921,0,0,0
11,11,0,0,0,0,1778669949874,1778669949916,0,0,0
12,12,0,0,0,0,1778669954874,1778669954914,0,0,0
13,13,0,0,0,0,1778669959874,1778669959918,0,0,0
14,14,0,0,0,0,1778669964874,1778669964917,0,0,0
15,15,0,0,0,0,1778669969875,1778669969917,0,0,0
16,16,0,0,0,0,1778669974875,1778669974925,0,0,0
17,17,0,0,0,0,1778669979876,1778669979927,0,0,0
18,18,0,0,0,0,1778669984876,1778669984919,0,0,0
19,19,0,0,0,0,1778669989876,1778669989923,0,0,0
20,20,0,0,0,0,1778669994877,1778669994917,0,0,0
21,21,0,0,0,0,1778669999878,1778669999920,0,0,0
22,22,0,0,0,0,1778670004880,1778670004921,0,0,0
23,23,0,0,0,0,1778670009880,1778670009922,0,0,0
24,24,0,0,0,0,1778670014880,1778670014930,0,0,0
25,25,0,0,0,0,1778670019881,1778670019923,0,0,0
26,26,0,0,0,0,1778670024882,1778670024925,0,0,0
27,27,0,0,0,0,1778670029881,1778670029922,0,0,0
28,28,0,0,0,0,1778670034883,1778670034930,0,0,0
29,29,0,0,0,0,1778670039883,1778670039927,0,0,0
30,30,0,0,0,0,1778670044883,1778670044928,0,0,0
31,31,0,0,0,0,1778670049883,1778670049930,0,0,0
32,32,0,0,0,0,1778670054885,1778670054930,0,0,0
33,33,0,0,0,0,1778670059885,1778670059922,0,0,0
34,34,0,0,0,0,1778670064885,1778670064925,0,0,0
