Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,1,0,0,0,0,1778669901583,1778669901633,0,0,0
2,2,0,43,11,31,1778669906587,1778669906624,398395,101915,287215
3,3,0,38,9,24,1778669911587,1778669911632,326204,77258,206025
4,4,0,0,0,0,1778669916585,1778669916633,0,0,0
5,5,0,0,0,0,1778669921585,1778669921631,0,0,0
6,6,0,0,0,0,1778669926585,1778669926635,0,0,0
7,7,0,0,0,0,1778669931586,1778669931634,0,0,0
8,8,0,0,0,0,1778669936586,1778669936628,0,0,0
9,9,0,0,0,0,1778669941586,1778669941637,0,0,0
10,10,0,0,0,0,1778669946586,1778669946630,0,0,0
11,11,0,0,0,0,1778669951586,1778669951639,0,0,0
12,12,0,0,0,0,1778669956587,1778669956630,0,0,0
13,13,0,0,0,0,1778669961587,1778669961629,0,0,0
14,14,0,0,0,0,1778669966588,1778669966629,0,0,0
15,15,0,0,0,0,1778669971588,1778669971635,0,0,0
16,16,0,0,0,0,1778669976588,1778669976635,0,0,0
17,17,0,0,0,0,1778669981589,1778669981637,0,0,0
18,18,0,0,0,0,1778669986589,1778669986639,0,0,0
19,19,0,0,0,0,1778669991589,1778669991643,0,0,0
20,20,0,0,0,0,1778669996590,1778669996635,0,0,0
21,21,0,0,0,0,1778670001590,1778670001629,0,0,0
22,22,0,0,0,0,1778670006591,1778670006640,0,0,0
23,23,0,0,0,0,1778670011590,1778670011631,0,0,0
24,24,0,0,0,0,1778670016591,1778670016637,0,0,0
25,25,0,0,0,0,1778670021591,1778670021642,0,0,0
26,26,0,0,0,0,1778670026592,1778670026634,0,0,0
27,27,0,0,0,0,1778670031592,1778670031637,0,0,0
28,28,0,0,0,0,1778670036593,1778670036640,0,0,0
29,29,0,0,0,0,1778670041593,1778670041642,0,0,0
30,30,0,0,0,0,1778670046593,1778670046645,0,0,0
31,31,0,0,0,0,1778670051594,1778670051640,0,0,0
32,32,0,0,0,0,1778670056594,1778670056641,0,0,0
33,33,0,0,0,0,1778670061594,1778670061637,0,0,0
34,34,0,0,0,0,1778670066594,1778670066648,0,0,0
